,Shared_252d_MinVar_VolTarget_Sleeve,Shared_252d_EWMAMinVar_VolTarget_Sleeve,Shared_252d_MinVar_VolTarget_Sleeve_Cap,Shared_252d_Ensemble_50_50,Shared_252d_EWMAMinVar_VolTarget_Sleeve_Cap,Shared_252d_EWMA_Ensemble_50_50,Shared_252d_Cap_Ensemble_50_50,Shared_252d_EWMA_Cap_Ensemble_50_50
2012-07-31,0.014011572760364903,0.0140115727603649,0.02367621688118074,0.01739002087110715,0.0140115727603649,0.01739002087110715,0.02222234293151507,0.01739002087110715
2012-08-31,0.01933162072999735,0.01933162072999735,0.01933162072999735,0.017132537142518275,0.01933162072999735,0.017132537142518275,0.017132537142518275,0.017132537142518275
2012-09-28,-0.00822172448039675,-0.00822172448039675,-0.00822172448039675,-0.009206060909153525,-0.00822172448039675,-0.009206060909153525,-0.009206060909153525,-0.009206060909153525
2012-10-31,-0.03724253326564585,-0.03724253326564585,-0.03724253326564585,-0.03731011098669737,-0.03724253326564585,-0.03731011098669737,-0.03731011098669737,-0.03731011098669737
2012-11-30,0.009014185445329033,0.009014185445329033,0.009014185445329033,0.008540033309031516,0.009014185445329033,0.008540033309031516,0.008540033309031516,0.008540033309031516
2012-12-31,0.0021323931291337495,0.0021323931291337495,0.0021323931291337495,0.0024406543461822747,0.0021323931291337495,0.0024406543461822747,0.0024406543461822747,0.0024406543461822747
2013-01-31,0.01717687645431655,0.01717687645431655,0.01717687645431655,0.017209729290462026,0.01717687645431655,0.017209729290462026,0.017209729290462026,0.017209729290462026
2013-02-28,-6.353892428590056e-05,-6.353892428590056e-05,-6.353892428590056e-05,-0.00029346466588675026,-6.353892428590056e-05,-0.00029346466588675026,-0.00029346466588675026,-0.00029346466588675026
2013-03-29,0.0422810804653641,0.0422810804653641,0.0422810804653641,0.0421290117797374,0.0422810804653641,0.0421290117797374,0.0421290117797374,0.0421290117797374
2013-04-30,0.007858730215676499,0.007858730215676499,0.007858730215676499,0.00831572223910195,0.007858730215676499,0.00831572223910195,0.00831572223910195,0.00831572223910195
2013-05-31,0.0045646587704094,0.0045646587704094,0.0045646587704094,0.0040109044826030504,0.0045646587704094,0.0040109044826030504,0.0040109044826030504,0.0040109044826030504
2013-06-28,-0.01747984421334515,-0.01747984421334515,-0.01747984421334515,-0.017860244505055176,-0.01747984421334515,-0.017860244505055176,-0.017860244505055176,-0.017860244505055176
2013-07-31,0.04049723856561753,0.04049723856561753,0.04049723856561753,0.05079969068730847,0.04049723856561753,0.05079969068730847,0.05079969068730847,0.05079969068730847
2013-08-30,-0.03081702720887045,-0.03081702720887045,-0.03081702720887045,-0.030782389135943826,-0.03081702720887045,-0.030782389135943826,-0.030782389135943826,-0.030782389135943826
2013-09-30,0.0482684453658498,0.0482684453658498,0.0482684453658498,0.046114312373069205,0.0482684453658498,0.046114312373069205,0.046114312373069205,0.046114312373069205
2013-10-31,0.02840137539978235,0.02840137539978235,0.02840137539978235,0.028340503645444874,0.02840137539978235,0.028340503645444874,0.028340503645444874,0.028340503645444874
2013-11-29,0.037537989447580855,0.037537989447580855,0.037537989447580855,0.037449649519971276,0.037537989447580855,0.037449649519971276,0.037449649519971276,0.037449649519971276
2013-12-31,0.0247410759358388,0.0247410759358388,0.0247410759358388,0.0248935294856895,0.0247410759358388,0.0248935294856895,0.0248935294856895,0.0248935294856895
2014-01-31,-0.023476227980839398,-0.023476227980839398,-0.023476227980839398,-0.02254390642959455,-0.023476227980839398,-0.02254390642959455,-0.02254390642959455,-0.02254390642959455
2014-02-28,0.04963214203843572,0.0496321420384357,0.04963214203843572,0.04919362000129586,0.0496321420384357,0.04919362000129585,0.04919362000129586,0.04919362000129585
2014-03-31,-0.013512968614006138,-0.01351296861400614,-0.013512968614006138,-0.015870107966000767,-0.01351296861400614,-0.01587010796600077,-0.015870107966000767,-0.01587010796600077
2014-04-30,-0.01880636967106929,-0.018806369671069283,-0.01880636967106929,-0.017323977536308394,-0.018806369671069283,-0.01732397753630839,-0.017323977536308394,-0.01732397753630839
2014-05-30,0.024242455598586923,0.024242455598586912,0.024242455598586923,0.023334960924281112,0.024242455598586912,0.023334960924281105,0.023334960924281112,0.023334960924281105
2014-06-30,0.016825412428353018,0.016825412428353025,0.016825412428353018,0.021088235667813857,0.016825412428353025,0.021088235667813864,0.021088235667813857,0.021088235667813864
2014-07-31,-0.0008088790347366001,-0.0008088790347366001,-0.0008088790347366001,-0.002028030540573,-0.0008088790347366001,-0.002028030540573,-0.002028030540573,-0.002028030540573
2014-08-29,0.044779225909599804,0.044779225909599804,0.044779225909599804,0.04449503010473785,0.044779225909599804,0.04449503010473785,0.04449503010473785,0.04449503010473785
2014-09-30,-0.0106813704483267,-0.0106813704483267,-0.0106813704483267,-0.01076914451271135,-0.0106813704483267,-0.01076914451271135,-0.01076914451271135,-0.01076914451271135
2014-10-31,0.02498501817402525,0.02498501817402525,0.02498501817402525,0.024918428685923075,0.02498501817402525,0.024918428685923075,0.024918428685923075,0.024918428685923075
2014-11-28,0.036467952253285196,0.036467952253285196,0.036467952253285196,0.03607297966468405,0.036467952253285196,0.03607297966468405,0.03607297966468405,0.03607297966468405
2014-12-31,0.005053656936082101,0.005053656936082101,0.005053656936082101,0.007863366378129951,0.005053656936082101,0.007863366378129951,0.007863366378129951,0.007863366378129951
2015-01-30,0.03866734086992405,0.03866734086992405,0.03866734086992405,0.043522096339450776,0.03866734086992405,0.043522096339450776,0.043522096339450776,0.043522096339450776
2015-02-27,0.005410778293119249,0.005410778293119249,0.005410778293119249,0.004693630542377425,0.005410778293119249,0.004693630542377425,0.004693630542377425,0.004693630542377425
2015-03-31,-0.00633361598007955,-0.00633361598007955,-0.00633361598007955,-0.006650327553249225,-0.00633361598007955,-0.006650327553249225,-0.006650327553249225,-0.006650327553249225
2015-04-30,-0.007514267283377349,-0.007514267283377349,-0.007514267283377349,-0.0067200775584296745,-0.007514267283377349,-0.0067200775584296745,-0.0067200775584296745,-0.0067200775584296745
2015-05-29,-0.0006201195616046002,-0.0006201195616046002,-0.0006201195616046002,0.0003601670197322999,-0.0006201195616046002,0.0003601670197322999,0.0003601670197322999,0.0003601670197322999
2015-06-30,-0.0225761854326873,-0.0225761854326873,-0.0225761854326873,-0.02247343885467715,-0.0225761854326873,-0.02247343885467715,-0.02247343885467715,-0.02247343885467715
2015-07-31,0.034083288726109204,0.034083288726109204,0.034083288726109204,0.0333522199898169,0.034083288726109204,0.0333522199898169,0.0333522199898169,0.0333522199898169
